web_scraper_order,web_scraper_start_url,data,data2,price,data3,data4,data5,data6,data7,data8,data9,data10,data11,price2,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,title,title2,title3,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,image,image2
"1785308298-1","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Vibration Plate Fitness Platform Exercise Machine Vibrating Shaking Full Body Shaker Workout Vibrate Stand Shake Board Sport for Weight Loss Fat Burner for Gym Home Office","(14.2K)","44,176","3K+ bought in past month","XAF 74,807 delivery Tue, Aug 11","","4.5","","XAF69,755","XAF 44,176","See options","List Price: XAF 69,755","XAF","4.5 out of 5 stars","Ships to Cameroon","","","List Price:","Tue, Aug 11","","","XAF 69,755","Best Seller","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/71x9m+I59xL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-2","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Lifepro Waver Vibration Plate Exercise Machine with 99 Speeds & 10 Presets | Resistance Bands, Non-Slip Surface, 330 lbs Capacity — Vibration Plate for Lymphatic Drainage, Body Toning, Full-Body Workout","(30.3K)","116,262","3K+ bought in past month","XAF 115,030 delivery Tue, Aug 11","","4.6","","","XAF 116,262","","","XAF","4.6 out of 5 stars","Ships to Cameroon","","","","Tue, Aug 11","Add to cart","","","","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/71VaXGNl5pL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-3","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","HVX Vibration Plate Exercise Machine for Lymphatic Drainage, Vibrating Fitness Platform 450 lbs Capacity Full Body Shaker Workout Equipment, Vibration Platform Machine Shaping Vibrate Board Sport Home","(1.2K)","29,061","2K+ bought in past month","XAF 73,650 delivery Tue, Aug 11","","4.5","","XAF52,315","XAF 29,061","","List: XAF 52,315","XAF","4.5 out of 5 stars","Ships to Cameroon","Recycled materials +2 more","","List:","Tue, Aug 11","Add to cart","","XAF 52,315","","","Global Recycled Standard","Global Recycled Standard","Global Recycled Standard","Learn more about Global Recycled Standard","Learn more about Global Recycled Standard","Learn more about Global Recycled Standard","Price, product page","Sustainability features","Recycled materials","Safer chemicals","Worker well-being","This product has sustainability features recognized by trusted certifications.","Contains at least 50% recycled material.","Manufactured on farms or in facilities that protect the rights and/or health of workers.","Made with chemicals safer for human health and the environment.","Global Recycled Standard","Global Recycled Standard","Global Recycled Standard","Certification Body","Certification Number","Global Recycled Standard (GRS) certified products contain recycled content that has been independently verified at each stage of the supply chain, from the source to the final product and meet social, environmental, and chemical requirements. The purchase of Global Recycled Standard (GRS) certified products supports the use of recycled content in the supply chain. A product must contain at least 50% certified GRS material to qualify for inclusion in Climate Pledge Friendly.","Bureau Veritas","TE-00333528","Certification Body","https://m.media-amazon.com/images/I/71m7KHQR0GL._AC_UY654_FMwebp_QL65_.jpg","https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png"
"1785308298-4","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","MERACH CV30 Pro Curved Vibration Plate Exercise Machine, Powerful & Quiet | 400lbs Capacity, Whole Body Workout Equipment for Lymphatic Drainage, Shake Plate with Bluetooth & Auto ON/OFF for Home Gym","(3.5K)","81,382","8K+ bought in past month","XAF 76,295 delivery Tue, Aug 11","(2 used & new offers)","4.4","XAF 68,012","","XAF 81,382","","","XAF","4.4 out of 5 stars","Ships to Cameroon","Recycled materials","More Buying Choices","","Tue, Aug 11","Add to cart","","","","","Recycled Claim Standard 100","","","Learn more about Recycled Claim Standard 100","","","Price, product page","Sustainability features","Recycled materials","","","This product has sustainability features recognized by trusted certifications.","Contains at least 95% recycled material.","","","Recycled Claim Standard 100","","","Certification Body","Certification Number","Recycled Claim Standard 100 (RCS100) certified products contain recycled content (>95%) that has been independently verified at each stage of the supply chain, from the source to the final product. The purchase of Recycled Claim Standard (RCS) certified products demonstrates demand for recycled materials. A product must contain at least 50% certified RCS100 material to qualify for Climate Pledge Friendly.","GCL International Ltd.","TE-00307057","","https://m.media-amazon.com/images/I/712A8dXk80L._AC_UY654_FMwebp_QL65_.jpg","https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png"
"1785308298-5","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Homesy Vibration Plate Exercise Machine for Lymphatic Drainage | Includes Resistance Bands and Remote, LED display, Anti-slip Suction Cups, Fat Burning, Compact for Home Workouts","(159)","29,061","2K+ bought in past month","XAF 63,546 delivery Tue, Aug 11","(6+ used & new offers)","4.6","XAF 26,736","XAF52,315","XAF 29,061","","List: XAF 52,315","XAF","4.6 out of 5 stars","Ships to Cameroon","Recycled materials +2 more","More Buying Choices","List:","Tue, Aug 11","Add to cart","","XAF 52,315","","","Global Recycled Standard","Global Recycled Standard","Global Recycled Standard","Learn more about Global Recycled Standard","Learn more about Global Recycled Standard","Learn more about Global Recycled Standard","Price, product page","Sustainability features","Recycled materials","Safer chemicals","Worker well-being","This product has sustainability features recognized by trusted certifications.","Contains at least 50% recycled material.","Manufactured on farms or in facilities that protect the rights and/or health of workers.","Made with chemicals safer for human health and the environment.","Global Recycled Standard","Global Recycled Standard","Global Recycled Standard","Certification Body","Certification Number","Global Recycled Standard (GRS) certified products contain recycled content that has been independently verified at each stage of the supply chain, from the source to the final product and meet social, environmental, and chemical requirements. The purchase of Global Recycled Standard (GRS) certified products supports the use of recycled content in the supply chain. A product must contain at least 50% certified GRS material to qualify for inclusion in Climate Pledge Friendly.","SGS","TE-00319021","Certification Body","https://m.media-amazon.com/images/I/715kMy3PBjL._AC_UY654_FMwebp_QL65_.jpg","https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png"
"1785308298-6","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Renoj Vibration Plate Exercise Machine, 3D Whole Body Vibration Platform for Lymphatic Drainage and Muscle Recovery, 455-lb Capacity Fitness Machine with Bluetooth Speaker and LED Display for Home Gym","(826)","46,501","1K+ bought in past month","XAF 77,516 delivery Tue, Aug 11","(3+ used & new offers)","4.6","XAF 45,571","XAF64,529","XAF 46,501","","Typical: XAF 64,529","XAF","4.6 out of 5 stars","Ships to Cameroon","","More Buying Choices","Typical:","Tue, Aug 11","Add to cart","","XAF 64,529","","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/71LniuUOVVL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-7","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Vibration Plate Fitness Platform Exercise Machine Vibrating Shaking Full Body Shaker Workout Vibrate Stand Shake Board Sport for Weight Loss Fat Burner for Gym Home Office","(14.2K)","52,309","2K+ bought in past month","XAF 77,725 delivery Tue, Aug 11","","4.5","","XAF75,568","XAF 52,309","See options","List Price: XAF 75,568","XAF","4.5 out of 5 stars","Ships to Cameroon","","","List Price:","Tue, Aug 11","","","XAF 75,568","Best Seller","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/71kwg999QyL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-8","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Merach V33 Pro Vibration Plate Exercise Machine with Touchscreen, 99 Speeds | Resistance Bands, Bluetooth, 350lbs Capacity, Vibration Platform for Lymphatic Drainage, Home Full Body Fitness Equipment","(1K)","63,942","2K+ bought in past month","XAF 75,318 delivery","(2+ used & new offers)","4.5","XAF 57,547","XAF81,382","XAF 63,942","","List: XAF 81,382","XAF","4.5 out of 5 stars","Ships to Cameroon","Recycled materials","More Buying Choices","List:","","Add to cart","","XAF 81,382","","","Recycled Claim Standard 100","","","Learn more about Recycled Claim Standard 100","","","Price, product page","Sustainability features","Recycled materials","","","This product has sustainability features recognized by trusted certifications.","Contains at least 95% recycled material.","","","Recycled Claim Standard 100","","","Certification Body","Certification Number","Recycled Claim Standard 100 (RCS100) certified products contain recycled content (>95%) that has been independently verified at each stage of the supply chain, from the source to the final product. The purchase of Recycled Claim Standard (RCS) certified products demonstrates demand for recycled materials. A product must contain at least 50% certified RCS100 material to qualify for Climate Pledge Friendly.","GCL International Ltd.","TE-00307057","","https://m.media-amazon.com/images/I/71gRXouF6QL._AC_UY654_FMwebp_QL65_.jpg","https://m.media-amazon.com/images/I/11++B3A2NEL._SS200_.png"
"1785308298-9","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","SoftGym Vibration Plate Exercise Machine for Lymphatic Drainage & Fitness | Quiet Heavy Duty 450lbs Capacity Platform, 120 Speeds Shake Machine with Resistance Bands for Home Muscle Activation","(4.9K)","38,357","2K+ bought in past month","XAF 69,749 delivery Tue, Aug 11","","4.5","","XAF46,496","XAF 38,357","See options","List Price: XAF 46,496","XAF","4.5 out of 5 stars","Ships to Cameroon","","","List Price:","Tue, Aug 11","","","XAF 46,496","","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/71o2D8uSEKL._AC_UY654_FMwebp_QL65_.jpg",""
"1785308298-10","https://www.amazon.com/Vibration-Platform-Machines/b/ref=dp_bc_4?ie=UTF8&node=1297872011","Vibration Plate Fitness Platform Exercise Machine Vibrating Shaking Full Body Shaker Workout Vibrate Stand Shake Board Sport for Weight Loss Fat Burner for Gym Home Office","(14.2K)","46,490","600+ bought in past month","XAF 71,604 delivery Tue, Aug 11","","4.5","","XAF69,755","XAF 46,490","See options","List Price: XAF 69,755","XAF","4.5 out of 5 stars","Ships to Cameroon","","","List Price:","Tue, Aug 11","","","XAF 69,755","Best Seller","","","","","","","","Price, product page","","","","","","","","","","","","","","","","","","https://m.media-amazon.com/images/I/71C5px8ea7L._AC_UY654_FMwebp_QL65_.jpg",""
